Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_postUrl,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.media.AudioRecord_startRecording,API_DeviceData_android.media.MediaRecorder_start,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_verbose,Logcat_info,Logcat_debug,Logcat_error,Logcat_warning,Logcat_total,Process_total,Category,Family
67283,4512,10776,53872,94156,7072,21510,16401,5108,127,6,6,3,2,17,35,6,24,0,0,0,81,31,0,0,0,0,0,0,0,0,1,0,4,0,6,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,0,0,0,0,58,58,54,52,72,55,0,0,4,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1278,12,5156,12,3,0,2971,2609,3639,120,912,10251,191,Trojan,autoins
30963,1788,12612,24240,77692,1796,7928,4870,3057,0,0,4,0,2,2,22,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,2,0,2130,3799,168,1367,3598,11062,197,Trojan,ginmaster
111038,40184,9916,58268,84860,44248,30173,24897,5275,14,1,8,1,4,39,37,13,47,3,0,1,366,178,15,0,0,0,0,0,0,6,2,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,158,188,19,0,0,0,9,208,28,0,12,0,0,0,22,0,0,0,0,0,9,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,18,144,0,0,0,0,0,0,0,0,51,0,6,12236,77,21282,166,5,3,3617,230,3786,2304,1188,11125,191,Trojan,lotoor
58021,7860,10796,36400,88708,13412,20365,15959,4405,64,3,6,2,2,28,32,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,0,10,0,0,0,0,2,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,3,0,5032,599,3861,3123,286,12901,191,Trojan,styricka
72981,5764,10596,58832,101784,5916,26966,20097,6868,111,3,7,2,4,32,32,17,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,1,1,0,0,0,0,63,6,6,1,0,0,3,5,3,6,8,0,30,30,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,126,83,1,2,0,0,0,0,0,0,3,0,1,2977,24,16512,27,8,1,111,745,1802,3486,2640,8784,191,Trojan,mytrackp
95609,26252,11388,59044,96068,27556,35140,29064,6075,170,5,12,9,4,39,43,10,40,3,0,10,0,0,12,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0,0,1,1,8,8,4,6,0,0,0,0,2,1,0,0,0,0,10,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,2,1,2099958,1523,67575,901,3,0,3024,118,1108,2590,1737,8577,192,Trojan,gappusin
47182,5336,11060,35628,88448,5352,22556,19792,2763,40,4,8,4,2,10,30,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,3,0,110,2958,2866,2036,593,8563,194,Trojan,smsagent
107521,39968,10128,52900,83616,44188,29968,25958,4009,28,2,9,2,4,43,39,11,44,4,0,2,436,237,18,0,0,0,0,0,0,8,2,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,192,216,20,0,0,0,13,338,42,0,16,0,0,0,35,0,0,0,0,0,13,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,18,192,0,0,0,0,0,0,0,0,69,0,8,16652,105,28082,205,5,3,1231,3684,2690,267,4496,12368,191,Trojan,lotoor
43019,5812,12264,29856,90688,5924,15333,12446,2886,11,1,4,1,2,8,26,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,8,0,0,23,22,24,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,153513045,104614,1906824,47385,3,0,3993,624,2299,6502,116,13534,191,Trojan,gappusin
103565,5564,10564,84808,97652,11128,26174,20934,5239,293,6,12,9,2,14,33,8,34,0,1,0,0,0,0,0,0,0,0,0,0,2,2,24,2,0,48,96,0,0,0,48,0,0,0,48,48,0,0,48,0,0,0,0,0,0,0,10,6,77,45,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,48,49,49,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,60,0,1,5635,23,3703,25,3,0,113,2450,2154,739,2871,8327,188,Trojan,<unknown>
87439,2088,11008,69352,92036,11396,48417,42479,5937,287,8,14,9,2,26,37,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,14,28,0,14,0,0,20,42,2,4,0,0,4,2,0,0,0,0,2,4,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,2,1,470,1140,3012,136,1219,5977,191,Trojan,wkload
64919,3704,11104,50820,95584,7044,35650,27805,7844,105,3,5,2,2,14,29,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,6,6,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,1,13944,39,6309,61,2,0,2407,687,204,2990,1721,8009,191,Trojan,gappusin
47946,5720,11060,35584,89400,5736,22471,19494,2976,20,2,6,2,2,10,28,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,3,0,2851,4807,770,3127,105,11660,190,Trojan,smsagent
72609,3392,10000,57076,79588,9600,34287,28074,6212,587,17,22,19,2,41,47,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,34,0,0,8,8,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,10048,34,5550,52,2,0,2703,1945,122,5651,513,10934,190,Trojan,gappusin
36387,1780,11184,28860,86500,1788,15308,11845,3462,29,3,6,2,2,9,29,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,591,2350,132,1149,1407,5629,192,Trojan,smsagent
40240,4204,12424,29824,92536,4224,15346,11728,3617,50,6,6,2,2,10,29,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,3,0,2305,385,3754,901,3146,10491,194,Trojan,smsagent
66312,5156,10588,52572,98540,5260,24400,18254,6145,113,3,7,2,4,30,32,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,1,1,0,0,0,0,43,6,6,1,0,0,3,5,3,6,8,0,30,30,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,86,63,1,2,0,0,0,0,0,0,3,0,1,2977,24,16534,27,8,1,1809,3464,588,2517,104,8482,191,Trojan,mytrackp
115441,38844,10620,61560,105680,43996,40747,35882,4864,163,3,6,3,4,41,38,27,51,2,0,8,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,10,0,2,4928,18,1792,22,3,0,278,717,4327,4294,2549,12165,195,Trojan,styricka
73294,10464,8456,40220,81848,16136,27995,23096,4898,160,12,9,6,2,31,38,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,1,1394,9,1062,18,3,0,2264,606,2435,108,3284,8697,189,Trojan,autosms
117678,37572,10496,64356,102212,43652,33148,27966,5181,220,3,6,3,4,32,38,10,40,3,0,1,62,22,1,0,0,0,0,0,0,1,1,0,4,0,6,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,20,19,0,4,37,37,47,45,55,43,0,0,4,0,5,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,6,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,16,0,1,1278,12,5275,14,3,0,3035,679,2931,122,2084,8851,192,Trojan,autoins
51166,5380,10888,39196,94648,5396,26786,22356,4429,33,3,7,3,3,9,29,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,3,0,540,3498,113,2732,2430,9313,191,Trojan,smsagent
41243,3476,12680,29764,96576,3492,10233,7594,2638,61,4,4,1,2,10,27,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,2,0,2264,1940,163,1274,513,6154,194,Trojan,smsagent
36935,2884,12760,28268,85320,2896,8049,6675,1373,10,0,5,1,2,3,25,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,38,0,0,0,18,18,0,0,38,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,20,0,0,0,0,2,1,3118,3428,2435,162,1226,10369,194,Trojan,mobtes
47481,6108,12004,31140,93096,9256,17443,14292,3150,58,4,5,2,2,15,27,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,17,0,0,0,0,2,0,883,529,3644,9019,6266,20341,192,Trojan,styricka
