Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Process_android.os.Process_killProcess,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.content.ContextWrapper_databaseList,API_Database_android.content.ContextWrapper_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_sendStickyBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_DexClassLoader_dalvik.system.DexFile_loadClass,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.media.AudioRecord_startRecording,API_DeviceData_android.media.MediaRecorder_start,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_debug,Logcat_warning,Logcat_info,Logcat_verbose,Logcat_error,Logcat_total,Process_total,Category,Family
99533,26504,10576,64328,93012,27076,35635,29816,5818,260,4,12,9,4,51,47,13,53,4,0,5,0,0,0,0,35,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,37,2,34,0,0,68,34,0,0,0,0,2,0,0,0,0,0,0,7,0,0,6,2,0,0,2,0,0,0,0,8,8,0,0,0,0,0,80,0,0,0,1,0,0,0,0,22,0,1,121710,152,12213,142,3,0,1508,3269,1770,3186,2362,12095,190,Adware,airpush
101815,19896,10480,69596,101416,21756,27336,20326,7009,171,4,7,3,4,31,39,17,38,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,30,0,0,0,2,0,0,0,28,28,1,1,2,0,0,0,1,0,15,17,0,10,0,0,134,78,0,0,0,0,10,5,0,0,0,0,0,2,0,0,17,5,1,0,2,0,0,0,54,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,1,28381,103,18169,112,4,1,2710,1304,1820,3256,827,9917,191,Adware,airpush
33679,3128,11112,25368,78548,3136,7927,5506,2420,0,0,4,0,2,3,23,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,3037,1538,2621,837,1448,9481,188,Adware,kuguo
100998,38684,10744,48812,100036,40452,28769,23217,5551,18,1,8,2,4,32,34,14,45,3,0,2,0,0,0,0,63,0,0,22,0,0,19,17,0,0,0,0,0,4,0,156,0,0,0,43,0,0,0,113,113,0,0,42,22,0,0,36,0,330,312,0,0,220,219,164,86,34,12,0,0,12,0,6,0,0,0,0,22,0,0,0,0,0,0,38,0,0,19,0,12,12,0,0,0,0,0,378,0,0,0,0,0,0,0,0,104,32,19,0,0,0,0,3,1,2755,807,3260,1570,7006,15398,187,Adware,shedun
49783,5740,10792,37984,89672,5756,25204,16343,8860,97,1,6,3,2,26,33,7,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,26,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,1,2151,13,3065,24,3,0,4295,3058,1511,2006,666,11536,189,Adware,airpush
51592,5136,12344,33564,90856,7240,17431,14246,3184,34,2,4,1,2,11,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,28,0,0,0,2,0,0,0,0,0,37,36,0,0,0,0,0,0,0,0,36,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,18,0,13,0,0,0,0,3,1,1128,3822,4268,2969,1774,13961,188,Adware,inoco
49612,4748,11008,34812,88736,5212,17315,14180,3134,46,2,5,1,2,10,27,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13,0,0,0,0,3,0,1734,3441,3344,905,2603,12027,189,Adware,adend
14606,1792,10904,3192,51284,1800,6531,4588,1942,0,0,2,0,2,4,24,3,13,0,0,0,0,0,219,73,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,8,0,0,0,2,0,1,1,5,6,0,0,2,3,0,0,35,0,140,280,6,72,0,0,77,230,144,152,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,34,0,0,37,68,2,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,72,69,34,1124,8,2475,10,4,2,1515,5790,3568,1476,5488,17837,191,Adware,shedun
79788,4104,10808,60524,84492,11192,26649,19803,6845,188,5,11,8,2,18,32,5,28,0,0,0,0,0,5,2,0,0,0,0,0,0,0,18,18,4,0,0,0,3,0,12,0,0,0,2,2,0,0,8,8,0,0,1,0,0,0,0,0,0,0,0,20,0,0,40,40,42,2,0,0,42,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,1,1222,12,37967,614,4,0,1731,2684,1945,3536,4035,13931,189,Adware,dianle
51844,14664,12752,26604,91896,15100,10090,7422,2667,8,0,6,1,4,14,30,7,27,0,0,1,0,0,0,0,44,0,0,17,0,0,15,11,0,4,0,0,0,6,0,128,0,0,0,38,0,0,0,90,90,0,0,38,17,0,0,28,0,246,231,0,0,176,175,154,87,33,12,0,0,12,0,10,0,0,0,0,17,0,0,2,1,0,0,30,0,0,15,0,12,12,0,0,0,0,0,260,0,0,0,0,0,0,0,0,87,28,15,1560,8,2284,12,3,1,3409,4400,1574,1242,3909,14534,188,Adware,shedun
61904,1932,10716,51572,90836,3064,25914,21431,4482,216,14,18,14,4,35,41,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,46,0,0,0,2,0,0,0,0,0,30,28,0,0,0,0,0,0,0,0,28,0,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,14,0,1,0,0,4320,72,3,1,1718,2914,659,2364,4643,12298,186,Adware,inoco
127555,19460,11488,94292,104308,20884,49191,39256,9934,380,10,13,9,5,50,43,15,59,2,0,9,0,0,0,0,27,10,0,0,0,0,2,0,0,0,0,0,0,3,0,35,12,0,12,2,0,33,33,0,33,11,11,4,0,0,0,13,0,70,98,4,18,0,0,0,0,2,8,0,0,4,2,0,4,0,0,0,11,0,0,11,0,0,0,4,0,0,2,19,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,18,24,2,62857,350,61823,429,6,1,693,2960,3650,1588,2051,10942,191,Adware,dowgin
29540,24,11060,26712,58128,28,7992,5760,2231,0,0,4,0,2,4,24,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,7435,768,2164,1813,1510,13690,194,Adware,ewind
94828,39492,10760,41616,92732,41180,19133,16159,2973,9,1,7,1,4,30,34,14,45,3,0,1,0,0,0,0,43,0,0,16,0,0,11,9,0,0,0,0,0,4,0,98,0,0,0,29,0,0,0,69,69,0,0,29,16,0,0,21,0,183,173,0,0,132,131,106,56,22,10,0,0,10,0,5,0,0,0,0,16,0,0,0,0,0,0,22,0,0,11,0,10,10,0,0,0,0,0,233,0,0,0,0,0,0,0,0,69,28,11,2952,12,4177,12,3,2,3001,2923,1567,1211,2818,11520,188,Adware,shedun
120322,19492,10708,93528,78116,20540,41303,31745,9557,73,2,6,2,4,36,38,10,42,3,1,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,27,0,4,0,0,628,315,0,0,0,0,2,0,0,0,0,0,0,2,0,3,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,5,1,977,1741,1511,1883,2763,8875,186,Adware,mobidash
31447,2604,12872,23296,74080,2620,8940,4782,4157,0,0,2,0,2,2,24,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3695,2680,1524,3189,1338,12426,193,Adware,dowgin
49528,5160,12228,33488,88468,6744,16391,14171,2219,34,2,4,1,2,11,25,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,24,0,0,0,2,0,0,0,0,0,33,32,0,0,0,0,0,0,0,0,32,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,13,0,0,3480,58,3,1,2452,3644,1766,4941,1085,13888,190,Adware,inoco
105620,3144,10696,90240,112504,3228,44251,33288,10962,342,16,19,15,6,61,48,22,92,2,17,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,68,0,34,47,47,248,319,14,0,0,0,64,32,0,0,0,0,0,15,0,0,20,2,0,0,2,0,0,1,192,42,42,0,0,0,0,24,32,0,0,0,0,0,0,0,0,61,0,1,25064,183,41818,171,3,0,3310,1755,2025,637,3506,11233,193,Adware,airpush
115837,17724,10548,89732,77900,18412,38327,29339,8987,79,4,6,1,5,38,35,12,45,2,15,5,0,0,0,0,0,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,43,0,4,0,0,417,233,10,0,0,0,16,8,0,0,0,0,0,10,0,0,16,12,0,0,2,0,0,0,0,5,5,0,0,0,0,2,24,0,0,8,2,0,0,0,0,7,0,1,474803,852,147014,839,3,1,2171,1500,2629,727,2364,9391,192,Adware,airpush
105429,36840,10660,51296,98516,41720,24481,21200,3280,41,2,5,1,4,37,36,10,39,4,0,1,0,0,0,4,0,0,0,0,0,0,9,7,9,16,0,0,0,3,0,21,50,0,50,1,0,0,0,20,20,0,0,1,3,0,3,49,0,122,127,15,0,40,36,60,60,101,160,22,13,34,4,10,0,1,4,60,23,0,0,30,2,60,0,18,0,0,0,4,0,0,0,0,0,0,8,190,0,0,0,0,0,0,0,0,38,1,9,26383,102,33487,403,6,4,1696,881,2932,3038,3850,12397,186,Adware,zdtad
