Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_postUrl,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.content.ContextWrapper_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.media.AudioRecord_startRecording,API_DeviceData_android.media.MediaRecorder_start,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_verbose,Logcat_info,Logcat_warning,Logcat_error,Logcat_debug,Logcat_total,Process_total,Category,Family
60715,740,9868,56828,53532,776,26336,22159,4176,14,1,7,1,4,35,37,14,55,3,0,1,0,51,25,1,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,28,33,16,0,0,0,5,28,4,4,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,12,0,2,2,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,12,0,1,6037,30,4638,65,5,3,1912,1552,685,1323,1876,7348,188,Trojan,lotoor
74874,5208,10472,61232,95556,5444,25655,20375,5279,139,17,7,2,5,30,35,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,50,4,0,4,2,0,0,0,2,48,8,8,2,0,0,3,6,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92,66,1,2,0,0,0,0,0,0,4,0,1,2612,20,15800,22,10,1,576,1624,2471,2020,1511,8202,187,Trojan,mytrackp
111557,40204,10040,53424,87676,44340,29290,23647,5642,14,1,8,1,4,44,39,12,46,4,0,1,0,279,149,13,0,0,0,0,0,0,7,1,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,166,187,22,0,0,0,11,184,37,4,14,1,0,0,30,0,0,0,0,0,8,0,0,0,0,12,0,14,14,24,0,0,0,0,0,0,0,0,18,168,0,0,0,0,0,0,0,0,59,0,7,12440,91,21294,172,6,3,2491,3292,1608,3785,1239,12415,188,Trojan,lotoor
57807,3596,10792,46444,95192,3640,16611,10296,6314,112,7,7,4,2,19,37,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,19,0,0,10,1,0,2,2,15,17,0,0,1,0,4,2,0,1,2,6,4,4,4,30,15,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2744,23,2890,36,4,0,517,2232,1545,1874,2252,8420,187,Trojan,smsagent
55668,3336,10312,41560,66092,7408,22422,17471,4950,196,10,6,3,2,10,29,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1260,21,2,0,1608,683,1891,2654,2462,9298,188,Trojan,lotoor
76428,14304,10648,48944,88360,18720,34309,28283,6025,50,4,5,2,4,37,38,25,45,2,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,6,0,1,4420,9,1234,10,4,0,1443,743,2310,3846,2724,11066,191,Trojan,styricka
61841,6848,11964,42448,84748,9720,20009,16608,3400,134,6,6,3,2,17,31,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,39,2,0,2,6,0,0,0,0,33,0,0,3,0,0,6,0,1,2,5,0,0,0,0,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,3318,28,6482,35,3,1,2912,2159,2473,781,1712,10037,188,Trojan,mseg
112695,36120,11100,63760,99636,37880,38400,28918,9481,161,6,6,3,4,36,34,13,54,2,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,12,14,14,31,17,1,2,2,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,23,0,1,89669,113,6944,113,4,0,3566,2139,732,2959,1882,11278,189,Trojan,ginmaster
68328,4596,10592,54540,104216,4748,24511,19246,5264,81,2,7,2,5,28,33,14,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,49,4,0,4,2,0,0,0,2,47,7,7,2,0,0,3,5,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,90,65,1,2,0,0,0,0,0,0,4,0,1,2612,20,15800,22,10,1,1495,532,1595,2448,2764,8834,186,Trojan,mytrackp
66790,5432,11092,52436,98512,5476,26327,17432,8894,48,1,6,2,2,12,30,7,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,49,0,0,31,2,0,4,4,44,48,0,0,2,0,0,0,0,1,2,4,2,36,36,68,34,18,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,0,2,24949,46,4019,66,5,0,2692,1661,3135,4118,914,12520,189,Trojan,smsagent
86624,9052,10424,66604,101208,10000,31278,25461,5816,83,2,7,2,5,29,33,18,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,71,4,0,4,2,0,0,0,2,69,7,7,2,0,0,3,6,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,134,87,1,2,0,0,0,0,0,0,4,0,1,2612,20,15796,23,11,1,2875,500,3571,1512,1836,10294,186,Trojan,mytrackp
89727,6440,10504,72180,106616,7412,37555,30311,7243,104,2,7,2,5,32,34,19,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,70,4,0,4,2,0,0,0,2,68,7,7,2,0,0,3,5,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,132,86,1,2,0,0,0,0,0,0,4,0,1,2612,20,15784,22,9,1,1513,2873,3336,1691,634,10047,186,Trojan,mytrackp
98150,15328,10524,68356,88060,19588,50251,42558,7692,264,13,7,4,4,45,45,64,55,2,0,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,8,0,1,2475,9,895,11,4,0,1661,4947,2077,2701,669,12055,192,Trojan,styricka
81288,4580,10588,67792,86840,4860,27431,21480,5950,81,2,8,2,5,23,33,22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,83,5,0,5,2,0,0,0,2,81,11,11,2,0,0,5,10,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,158,99,2,4,0,0,0,0,0,0,4,0,1,2612,20,15896,22,9,1,2279,561,1931,2687,1507,8965,184,Trojan,mytrackp
92703,4044,10536,76092,96596,7948,24606,18422,6183,136,4,6,3,2,22,37,16,37,0,0,0,0,98,39,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,28,0,0,0,10,0,0,0,18,18,0,0,10,0,0,0,0,0,0,0,0,84,84,100,88,98,64,0,0,6,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,1,2127,12,4454,13,4,0,2089,2771,1511,471,2315,9157,189,Trojan,autoins
78836,5756,10576,64096,89984,5880,27042,21411,5630,78,2,7,2,5,24,32,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,72,4,0,4,2,0,0,0,2,70,7,7,2,0,0,3,5,3,6,8,0,30,30,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,136,88,1,2,0,0,0,0,0,0,4,0,1,3707,32,18000,46,10,1,2970,3550,639,1727,1522,10408,188,Trojan,mytrackp
117484,34964,10584,67620,92252,39052,33554,27951,5602,197,5,7,4,4,32,41,10,42,3,0,1,0,70,26,1,0,0,0,0,0,0,1,0,0,4,0,0,10,0,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,20,19,0,8,44,44,54,52,64,51,0,0,4,0,5,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,4,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,0,1,2010,11,4534,13,4,0,3420,1515,739,3241,2837,11752,184,Trojan,<unknown>
76777,5640,10592,60948,91664,5792,27103,21509,5593,112,3,7,2,5,25,33,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,68,4,0,4,2,0,0,0,2,66,7,7,2,0,0,3,5,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,128,84,1,2,0,0,0,0,0,0,4,0,1,2612,20,15832,22,10,1,2562,1517,570,1513,3248,9410,186,Trojan,mytrackp
107504,41368,9932,53460,83408,43984,29968,24718,5249,14,1,7,1,4,34,36,12,46,3,0,1,0,279,125,12,0,0,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,84,84,9,0,0,0,10,158,13,2,8,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,35,0,4,9236,57,15601,117,4,2,1029,1871,2778,2405,1578,9661,191,Trojan,<unknown>
71679,5112,10588,58100,92412,5240,26719,20557,6161,138,4,9,3,5,27,34,21,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,48,4,0,4,2,0,0,0,2,46,9,9,2,0,0,5,8,4,8,8,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,88,66,2,2,0,0,0,0,0,0,5,0,1,690,7,1298,15,10,1,498,1682,3246,1485,2993,9904,189,Trojan,mytrackp
103426,8804,8336,64176,105812,12468,38217,31710,6506,86,6,7,4,4,30,39,12,47,3,0,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,12,0,0,362,182,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,11,0,1,1999394,1912,137419,1492,4,0,1122,5915,1836,2062,1515,12450,188,Trojan,autosms
40804,2952,11008,29152,98104,3284,15282,11576,3705,9,1,4,1,2,7,28,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,14,14,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,14,6650,84,10848,85,3,0,3133,2814,1662,3632,1476,12717,191,Trojan,ginmaster
