Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.content.ContextWrapper_databaseList,API_Database_android.content.ContextWrapper_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_sendStickyBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_DexClassLoader_dalvik.system.DexFile_loadClass,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.media.AudioRecord_startRecording,API_DeviceData_android.media.MediaRecorder_start,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_debug,Logcat_info,Logcat_warning,Logcat_error,Logcat_verbose,Logcat_total,Process_total,Category,Family
47120,3088,12124,33448,102224,4876,17426,14086,3339,34,2,4,1,2,11,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,27,0,0,0,2,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,34,0,0,0,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,2,2,2123,226,5257,648,2442,10696,191,Adware,inoco
20465,2680,8808,6020,77732,2848,8220,6527,1692,0,0,5,0,2,8,26,4,16,0,0,0,0,180,64,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,4,0,3,3,5,8,0,0,4,21,0,0,22,0,92,184,11,40,0,0,88,142,112,117,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,0,0,21,0,0,32,42,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,46,42,21,1369,14,6726,18,4,3,2919,108,3496,2838,1219,10580,192,Adware,shedun
72434,7252,10228,53984,77260,9792,28025,24001,4023,49,1,5,1,2,11,29,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,57,0,0,0,40,0,28,14,3,17,0,0,20,1,0,0,10,0,3,6,22,0,6,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,6,1506,8,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,47,0,8,36786,42,4582,62,3,4,2360,5589,103,785,2790,11627,188,Adware,ewind
51316,2876,12820,37840,103764,4708,19970,15570,4399,102,6,7,3,4,14,30,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,0,0,0,2,0,0,0,0,0,25,24,0,0,0,0,0,0,0,0,0,24,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,7,0,0,2520,42,2,1,2539,569,2866,3122,300,9396,191,Adware,inoco
28906,2228,10460,17292,72248,2240,5346,3646,1699,0,0,1,0,2,2,22,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,1274,5118,2246,3641,111,12390,192,Adware,baiduprotect
65304,26984,12436,29548,89248,28156,11716,8445,3270,9,0,6,1,4,14,29,7,28,0,0,1,0,0,0,40,0,0,14,0,0,14,12,0,0,0,0,0,33,0,126,0,0,0,34,0,0,0,92,92,0,0,32,14,0,0,24,0,262,264,2,0,189,189,324,177,50,48,28,14,18,0,11,0,0,0,0,28,29,0,0,0,0,0,0,28,0,0,29,5451,589,558,0,0,0,0,0,254,0,0,0,0,0,0,0,0,77,23,14,502294,381,13120,208,3,2,6027,3086,4125,1260,268,14766,194,Adware,shedun
34954,3204,9516,23912,78812,3216,7031,5095,1935,0,0,3,0,2,3,22,6,11,0,0,0,0,192,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,148,298,0,80,0,0,34,34,185,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,47,4412,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,73,47,0,0,0,0,2,3,56,4270,2234,2739,3110,12409,190,Adware,shedun
60685,2792,10140,48488,78364,7020,24657,18834,5822,275,3,6,3,2,11,30,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,20,0,0,0,7,7,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,480,12,6000,100,2,0,2001,1115,116,14724,2742,20698,190,Adware,dowgin
122837,23132,10628,91696,81500,24068,38882,29749,9132,129,3,6,2,4,43,38,18,43,2,7,4,0,0,0,0,0,6,4,0,0,6,0,0,0,0,0,0,0,0,80,0,0,0,4,0,0,0,76,76,2,2,4,0,0,0,2,0,60,64,0,6,0,0,604,326,4,0,0,0,20,10,0,0,0,0,0,0,10,0,0,15,15,2,0,4,0,0,0,112,6,6,0,0,0,0,0,64,0,0,0,0,0,0,0,0,12,0,2,561429,882,135203,870,2,1,1707,155,2966,1292,2684,8804,194,Adware,airpush
135147,26016,9824,102092,76532,26732,42582,33381,9200,87,2,8,5,4,45,38,17,69,3,1,2,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,66,109,0,38,0,0,131,273,1,0,0,15,4,0,0,0,0,0,0,0,6,0,0,37,37,0,0,2,0,0,5,0,26,13,0,0,0,0,0,100,0,0,0,0,0,0,0,0,40,0,1,525002,574,46908,426,2,0,1597,5288,2930,393,2068,12276,192,Adware,airpush
76001,9916,8500,55372,73392,11732,36227,30915,5311,246,4,7,3,2,26,37,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,5,2,0,0,180,179,8,32,0,0,2,0,4,0,0,0,0,0,0,0,0,69,29,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,7,0,1,906108,897,52442,708,3,1,1851,794,110,4368,2619,9742,191,Adware,dowgin
121251,40568,10628,67932,107828,42492,31941,26027,5913,53,1,4,1,4,45,35,11,46,3,3,1,0,0,0,0,0,4,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,10,0,0,590,297,0,0,0,21,10,21,0,20,0,0,0,0,14,0,0,63,29,8,0,10,0,0,0,0,104,104,0,0,5,0,20,100,0,0,0,0,0,0,0,0,20,5,5,439160,552,89755,525,3,0,938,2193,1455,117,584,5287,193,Adware,airpush
50244,12808,8972,27512,80276,12980,7898,6243,1654,0,0,3,0,2,8,29,5,20,0,0,0,0,175,60,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,20,0,0,0,5,0,5,5,10,15,0,0,5,18,0,0,33,0,123,235,19,56,41,41,95,195,121,123,0,0,0,0,2,0,0,0,0,0,1,0,0,5,4,0,0,29,0,0,35,54,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,61,54,27,1110,12,5589,14,4,3,115,3851,2997,1087,7629,15679,190,Adware,shedun
51016,2148,10956,41564,102676,2184,20823,14316,6506,32,9,9,3,2,17,30,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,4,0,4,4,0,4,0,0,4,0,0,0,26,0,0,0,24,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,14716,56,8368,68,5,1,178,3060,1747,2451,1099,8535,191,Adware,kuguo
99730,26240,11428,65700,87808,27008,32356,25387,6969,121,3,5,2,4,33,37,9,36,3,0,2,0,0,0,6,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,25,3,4,0,0,212,106,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,1,991079,1013,95010,846,3,0,793,2382,114,1929,1267,6485,194,Adware,mobidash
124216,18456,10620,96448,101500,19580,45332,35991,9340,328,14,9,6,4,50,42,13,53,2,2,9,0,0,0,4,0,8,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,47,56,5,16,0,0,111,58,3,0,0,0,0,0,0,0,0,0,0,0,27,0,0,39,27,14,0,4,0,0,2,0,9,8,0,0,2,1,2,64,0,0,0,0,0,0,0,0,14,6,2,178358,288,37450,333,3,1,2646,119,2064,3084,981,8894,193,Adware,adflex
36761,3792,10016,23592,76632,3804,5577,4517,1059,0,0,4,0,2,3,24,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,2,0,3087,100,792,2284,2449,8712,191,Adware,kuguo
44425,5896,12460,31732,91608,5948,22095,14646,7448,13,1,6,1,2,9,26,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,2,1,2232,8190,136,3864,972,15394,192,Adware,shedun
147588,6324,10416,131408,90856,6388,37480,32756,4723,64,1,8,3,6,39,40,23,94,4,4,1,0,0,0,1,0,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,44,64,0,2,51,51,182,360,0,0,0,8,8,4,0,0,0,0,0,0,9,0,0,5,1,3,0,2,0,0,2,182,26,26,0,0,0,0,24,0,0,0,0,0,0,0,0,0,7,0,1,136391,133,7981,118,2,1,698,2209,107,1546,2820,7380,192,Adware,airpush
162266,25976,13160,124860,85852,27736,38248,29229,9018,192,10,18,10,4,47,45,12,45,2,0,5,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,10,0,2,1,9,10,0,0,5,5,0,3,34,0,32,35,22,16,264,103,10,19,42,100,0,0,82,0,0,0,0,0,0,82,5,0,0,9,0,9,0,2,0,0,11,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,61,0,1,0,0,0,0,2,4,2281,220,780,3477,2438,9196,195,Adware,dowgin
48337,4968,12004,33472,96748,6796,17415,14254,3160,34,2,4,1,2,9,26,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,24,0,0,0,2,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,32,0,0,0,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,13,0,0,3120,52,2,1,346,3656,5096,2477,775,12350,193,Adware,inoco
145268,38896,9444,95616,65880,38920,93281,88132,5148,7,1,6,1,4,16,30,14,39,0,0,0,0,6,2,0,0,0,0,0,0,20,10,20,0,0,0,0,0,0,18,0,0,0,2,0,6,6,10,16,0,0,2,1,0,0,10,0,32,53,8,0,32,32,76,147,2,20,0,0,18,0,0,0,0,0,1,0,19,0,0,68,0,3,0,22,0,0,0,14,10,0,0,0,0,0,8,2,0,0,3,0,0,0,0,0,23,0,9,6902,45,9914,92,3,1,662,118,4133,2405,3773,11091,190,Adware,appad
