Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_error,Logcat_verbose,Logcat_warning,Logcat_debug,Logcat_info,Logcat_total,Process_total,Category,Family
29403,4296,9512,18380,74840,4312,7122,5283,1838,0,0,2,0,2,2,22,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,117,3304,2339,1417,4593,11770,196,Riskware,jiagu
138336,27896,10408,101220,101280,29168,43767,34085,9681,643,0,17,14,5,66,44,21,78,1,0,65,0,0,0,26,0,26,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,1,12,0,0,0,89,113,0,46,11,11,32,33,0,0,0,26,0,0,0,0,0,0,0,0,66,0,0,2,14,0,0,2,1,0,26,26,0,0,0,0,52,240,0,0,0,0,0,0,29,0,1,1013630,759,33153,564,2,0,1842,9973,3259,1815,300,17189,190,Riskware,revmob
60583,4268,10704,44340,102160,8616,25635,19712,5922,198,8,13,10,2,23,41,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,8,1,1,20,19,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,1,55799,984,83751,995,3,0,2782,2908,1251,115,3344,10400,191,Riskware,smsreg
56248,10324,9168,32024,82532,10472,9497,7836,1660,29,0,8,2,2,7,27,8,18,0,0,0,0,143,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,3,0,3,0,0,3,3,0,17,0,71,142,18,34,0,0,45,45,79,76,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,23,2925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,17,0,0,0,0,3,1,123,2947,1157,3587,4899,12713,193,Riskware,skymobi
96980,33920,10708,53804,106948,35376,34127,27484,6642,139,4,7,2,4,35,38,11,46,3,0,1,0,0,0,2,0,0,1,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,24,27,0,10,0,0,18,18,10,2,0,0,2,0,4,0,0,0,0,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,6,0,1,25592,158,22918,220,2,2,1870,223,2611,1097,1549,7350,194,Riskware,smsreg
60486,4024,10648,44500,96320,8932,23283,18799,4483,106,3,6,3,2,17,34,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,19,8,0,0,0,2,0,4,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,4622,46,7776,50,3,0,8383,114,585,2759,2079,13920,191,Riskware,smsreg
75350,35032,8772,23032,95268,36292,8362,7028,1333,11,1,4,1,6,18,30,7,28,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,0,0,0,0,2,0,97,1406,6367,1031,1806,10707,196,Riskware,revmob
94857,39696,10760,42240,105292,41372,26594,23266,3327,15,2,5,2,4,34,36,11,44,3,0,1,0,0,0,19,0,0,6,0,0,2,4,13,0,0,0,70,2,0,2,2,0,0,0,68,68,3,3,2,0,0,0,0,40,38,0,6,1,1,2,1,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,11,0,2,3378,73,13766,105,2,0,2819,177,3746,1069,2201,10012,191,Riskware,smspay
46559,11644,10832,26272,68280,11776,10179,5801,4377,8,0,7,1,2,5,25,3,12,0,0,0,0,171,57,0,0,0,0,0,0,6,0,0,0,0,2,13,0,0,0,4,0,4,4,5,9,0,0,4,3,0,33,0,113,226,19,54,35,35,69,226,117,122,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,27,31,3390,2,2,0,0,0,0,4,2,0,0,0,0,0,0,58,56,27,1124,8,2503,10,3,3,116,3090,2197,3519,1355,10277,191,Riskware,skymobi
52538,8212,11680,37492,74580,8244,21981,16837,5143,5,1,5,1,2,10,27,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,10,0,0,0,0,4,0,4029,859,156,4271,3213,12528,189,Riskware,smspay
94304,29764,10608,50976,105864,34060,21461,17637,3823,54,1,5,2,4,25,33,15,47,3,0,0,0,213,71,0,0,0,0,0,0,17,17,0,0,0,0,222,0,0,0,74,0,0,0,148,148,0,0,74,0,0,0,0,204,187,0,0,47,47,433,269,210,188,0,0,80,0,25,0,0,0,0,0,17,0,0,24,0,0,0,34,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,132,0,17,0,0,23460,391,2,0,3570,5837,3712,106,1423,14648,192,Riskware,smsreg
78458,19556,10772,51884,95452,20152,32562,27931,4630,202,8,11,8,4,55,39,9,36,2,0,8,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,18,0,1,0,0,0,0,2,0,117,4528,2676,1059,2070,10450,196,Riskware,revmob
85614,30312,10652,43064,114980,32560,20797,16646,4150,28,1,4,1,4,26,33,9,38,4,0,0,0,198,66,0,0,0,0,0,0,17,17,0,4,0,3,210,0,0,0,64,0,0,0,146,146,0,0,64,0,0,0,0,204,187,2,0,88,88,445,276,202,174,0,0,76,0,25,0,0,0,0,0,17,0,0,23,0,0,0,34,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,120,0,18,124,3,22280,372,2,0,3395,3369,195,3034,1068,11061,189,Riskware,smsreg
96392,32448,10432,50844,114208,35308,19786,17206,2579,28,0,4,1,4,22,31,14,43,3,0,0,0,126,42,0,0,0,0,0,0,12,11,0,2,0,3,136,0,0,0,45,0,0,0,92,93,0,0,45,14,0,4,0,147,146,17,0,340,353,258,162,141,138,28,0,50,0,15,0,0,0,0,0,12,0,0,44,14,0,0,38,0,28,55,55,0,0,0,0,0,0,0,0,0,0,0,0,84,14,13,7653,116,40427,421,3,1,2521,1077,368,2399,3551,9916,188,Riskware,<unknown>
80739,31436,10748,39820,102768,32892,13848,11016,2831,30,1,4,1,4,26,32,14,40,4,0,1,0,117,39,0,0,0,0,0,0,12,11,0,2,0,3,125,0,0,0,43,0,0,0,82,84,0,0,43,15,0,2,0,140,140,14,0,367,380,246,157,140,134,30,0,50,0,17,0,0,0,0,0,12,0,0,44,11,0,0,39,0,26,54,54,0,0,0,0,0,0,0,0,0,0,0,0,82,13,13,4619,60,25075,335,3,1,3489,3750,449,2657,1006,11351,190,Riskware,smsreg
65105,3664,10704,51436,97792,6508,21364,16428,4935,121,3,6,3,2,14,32,6,26,0,0,0,0,69,25,0,0,0,0,0,0,0,1,0,4,0,6,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,0,0,0,0,46,46,48,46,60,48,0,0,4,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1201,12,5191,14,3,0,3484,684,2679,114,2090,9051,192,Riskware,smsreg
92925,32480,10612,47828,113552,35700,19482,16688,2793,27,1,4,1,4,22,33,12,35,3,0,0,0,189,63,0,0,0,0,0,0,16,16,0,2,0,3,215,0,0,0,72,0,0,0,144,144,0,0,72,0,0,0,0,192,176,0,0,51,51,410,254,193,172,0,0,78,0,25,0,0,0,0,0,16,0,0,22,1,0,0,32,0,0,47,47,0,0,0,0,0,2,0,0,0,0,0,0,126,0,16,679,7,3524,7,2,0,3576,7118,4614,143,941,16392,192,Riskware,smsreg
90652,32024,10608,46400,115124,34712,19378,16720,2657,27,1,4,1,4,22,34,14,41,3,0,0,0,180,60,0,0,0,0,0,0,15,15,0,4,0,4,191,0,0,0,63,0,0,0,128,128,0,0,63,0,0,0,0,180,165,0,0,40,40,337,216,178,154,0,0,64,0,21,0,0,0,0,0,15,0,0,21,1,0,0,30,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,113,0,15,679,7,21841,321,2,0,3105,2892,109,1488,3871,11465,193,Riskware,smsreg
41811,6872,12968,27024,89048,7100,15502,12882,2619,56,3,5,1,2,16,27,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,8724,44,6376,53,2,0,2962,142,2651,705,4474,10934,191,Riskware,revmob
105587,26716,12200,69900,102016,27964,38738,26223,12514,42,2,7,3,4,40,39,11,42,2,0,2,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,29,4,4,7,7,212,106,1,14,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,8,22,0,0,0,0,0,0,6,0,1,2460962,2304,208128,1982,4,1,1423,2519,1734,166,725,6567,193,Riskware,smsreg
55926,1620,10772,44412,103628,4280,21019,16299,4719,118,2,8,2,2,22,35,14,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,17,14,0,14,8,0,7,7,2,9,0,0,8,0,0,5,0,8,16,15,2,1,1,0,0,6,4,4,1,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,20,0,0,0,0,0,0,12,6,0,0,0,0,0,0,11,0,1,644,10,6635,96,4,3,3550,1937,192,2269,615,8563,192,Riskware,<unknown>
31087,1752,12716,24056,78748,1764,8936,5011,3924,0,0,1,0,2,2,23,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,3631,7174,108,2404,1688,15005,193,Riskware,smsreg
50835,4240,11104,39552,83224,4308,19114,15092,4021,187,28,5,1,2,20,33,38,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,2,13,0,0,0,3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,3,0,0,0,0,2,1,109,863,2825,4295,1974,10066,191,Riskware,smsreg
68943,8408,10644,43500,101840,16408,25247,18947,6299,88,4,5,2,2,12,32,6,26,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,33,31,14,0,0,0,4,0,7,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,10733,68,11100,77,3,0,2180,656,2383,110,3091,8420,191,Riskware,smsreg
