Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_postUrl,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.content.ContextWrapper_databaseList,API_Database_android.content.ContextWrapper_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_warning,Logcat_info,Logcat_verbose,Logcat_error,Logcat_debug,Logcat_total,Process_total,Category,Family
79351,21660,11588,48736,94460,22904,36167,26372,9794,31,1,5,1,4,22,32,7,30,2,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,2751,1817,2186,1503,571,8828,188,Riskware,revmob
67135,8416,8484,44300,74052,9816,21880,16025,5854,213,12,5,2,2,266,32,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,4,0,0,0,1,0,4,0,0,0,2,0,2,2,0,2,0,0,2,0,0,2,0,6,12,0,4,0,0,23,21,11,8,4,0,4,0,5,1,0,0,0,0,0,0,0,4,2,423,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2124,12,5487,30,4,0,5391,2213,3994,1519,486,13603,182,Riskware,smsreg
54971,9664,10460,27576,70380,9844,7846,4973,2872,8,0,7,1,2,5,25,3,12,0,0,0,0,126,42,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,1,0,0,1,2,0,21,0,86,172,6,42,0,0,49,188,84,92,2,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,21,0,23,2596,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,42,44,21,739,8,1564,11,4,2,1506,3256,4522,984,2775,13043,188,Riskware,skymobi
134448,13104,10540,88136,165576,13604,41209,32823,8385,73,1,9,1,7,69,44,17,69,5,0,1,0,0,0,1,0,0,1,2,0,0,5,1,32,4,0,0,0,19,0,75,0,0,6,21,0,33,33,22,55,0,0,23,2,0,11,0,77,104,1,0,153,153,115,303,0,0,0,5,6,0,10,0,0,0,0,0,4,0,0,4,3,0,0,6,0,3,330,33,32,0,0,0,0,0,78,48,0,0,0,0,0,0,47,2,3,0,0,0,0,4,2,1411,4436,1384,1512,480,9223,189,Riskware,triada
110444,44204,10644,52656,94340,45880,27770,22887,4882,7,1,6,1,4,42,36,13,49,3,1,1,0,0,0,10,0,0,0,0,0,0,10,6,21,8,0,0,0,45,0,81,6,0,6,45,0,5,5,31,36,0,0,45,0,0,17,0,116,132,8,0,33,40,186,150,11,2,2,4,0,0,2,2,0,0,0,2,5,0,0,6,4,12,0,8,0,4,16,4,4,0,0,0,0,0,0,88,0,0,0,0,0,0,59,3,4,24163,58,9261,98,5,2,1076,2597,3167,2527,1520,10887,185,Riskware,smsreg
88280,33696,10696,42796,97924,35104,13325,10453,2871,28,1,4,1,4,26,32,13,39,4,0,0,0,156,52,0,0,0,0,0,0,0,18,14,0,6,0,0,0,10,0,206,0,0,0,68,0,0,0,138,139,0,0,68,20,0,2,0,212,212,18,0,504,523,343,219,186,176,40,0,68,0,22,0,0,0,0,0,18,0,0,62,17,0,0,56,0,0,38,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,126,20,18,6880,79,27206,367,4,1,4114,3918,1854,2998,1418,14302,184,Riskware,smsreg
34538,7300,9956,17300,70548,7304,5398,3788,1609,0,0,2,0,2,3,21,2,8,0,0,0,0,15,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,6,0,0,0,1,0,0,0,5,5,0,0,1,10,0,1,0,26,52,3,44,0,0,78,204,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,22,0,23,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,23,553,4,1187,5,5,1,3628,9021,821,8628,2172,24270,187,Riskware,smsreg
33125,3480,9644,17072,60936,3492,5408,3872,1535,0,0,2,0,2,2,22,6,9,0,0,0,0,78,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,2144,1121,1510,2921,2790,10486,186,Riskware,smsreg
54509,19920,10976,23096,52416,20000,8726,4941,3784,0,0,3,0,2,4,22,1,6,0,0,0,0,180,60,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,120,246,2,58,0,0,59,198,119,130,4,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,29,0,31,3466,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,58,60,29,571,4,1272,5,4,3,3357,1162,3995,3106,1512,13132,188,Riskware,skymobi
65895,8956,10748,39676,97440,16912,22800,16978,5821,100,2,4,1,2,14,28,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,21,9,0,0,0,2,0,4,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,7578,63,9576,75,4,0,703,2489,2835,4905,1509,12441,187,Riskware,smsreg
49051,8812,11100,32428,94904,8820,19077,13981,5095,48,2,4,1,2,8,27,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,22,33,0,8,8,8,1026,1026,119,0,0,0,0,0,119,0,0,0,0,0,1,0,0,165,149,70,78,2,0,0,8,4,4,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,8,1275900,1607,130426,1561,3,1,3016,4813,1703,1573,3759,14864,188,Riskware,smspay
59392,20152,10552,26748,55844,20292,7540,4509,3030,8,0,7,1,2,5,25,3,12,0,0,0,0,132,44,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,8,0,0,0,2,0,1,1,5,6,0,0,2,3,0,22,0,86,172,4,42,0,0,61,218,88,95,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,21,0,24,2761,2,2,0,0,0,0,0,4,2,0,0,0,0,0,0,44,44,21,0,0,240,4,4,2,3109,3513,2849,1003,1523,11997,185,Riskware,skymobi
37779,8832,10400,18252,67556,8840,6875,3906,2968,0,0,2,0,2,2,22,7,9,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3014,2705,1316,3147,1511,11693,188,Riskware,jiagu
47423,4848,11084,34500,92916,5152,22048,17904,4143,19,1,6,1,3,17,29,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,64,4,0,4,34,0,0,0,30,30,0,0,34,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,61,0,9,364,4,433,5,5,1,1627,3293,2568,4048,1066,12602,188,Riskware,smsreg
65543,4088,10720,49620,101312,8432,21357,16561,4796,211,5,6,3,2,20,34,6,24,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,0,0,0,0,9,9,33,31,22,14,0,0,4,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,1,2045,12,22103,307,3,0,2052,1788,455,2321,1521,8137,187,Riskware,smsreg
93488,39056,10700,42196,97328,40552,13418,10790,2627,28,1,4,1,4,26,32,13,37,4,0,0,0,174,58,0,0,0,0,0,0,0,16,13,0,2,0,0,0,7,0,199,0,0,0,64,0,0,0,134,134,0,0,63,22,0,4,0,194,194,22,0,551,573,354,226,208,204,44,0,76,0,25,0,0,0,0,0,16,0,0,67,42,0,0,54,0,0,44,84,81,0,0,0,0,0,0,2,0,0,0,0,0,0,121,22,16,91041,220,58454,655,4,1,1955,1446,4114,3583,3999,15097,188,Riskware,smsreg
85147,35776,11984,37460,91604,37304,20701,15885,4815,28,1,4,1,4,27,33,9,38,4,0,0,0,195,65,0,0,0,0,0,0,0,16,14,0,4,0,0,0,10,0,216,0,0,0,71,0,0,0,145,145,0,0,71,0,0,0,0,192,176,0,0,88,88,381,245,200,174,0,0,76,0,26,0,0,0,0,0,16,0,0,24,2,0,0,32,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,16,2155,13,24347,333,3,0,1440,4073,1595,5279,4013,16400,186,Riskware,smsreg
96949,23396,11268,63136,87492,24500,38814,30191,8622,254,3,6,3,4,26,35,10,42,2,0,12,0,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,27,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,13,17,0,2,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,7,0,1,21997197,16287,360639,8730,5,0,2239,3061,1681,590,3055,10626,191,Riskware,smspay
53527,5796,11984,35696,90692,9004,17897,14925,2971,39,4,5,2,2,13,28,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,26,23,11,0,0,0,4,0,5,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,3,12792,94,12602,110,4,0,918,3235,1519,7842,1944,15458,184,Riskware,smsreg
64280,4576,10672,46092,85652,11004,25753,18936,6816,147,6,7,4,2,17,36,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,21,9,0,0,0,2,0,4,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,6455,43,7043,48,4,0,2180,1518,2829,8960,683,16170,186,Riskware,smsreg
54491,14996,10716,26600,67872,15148,7292,4354,2937,8,0,7,1,2,5,25,3,12,0,0,0,0,156,52,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,8,0,0,0,2,0,1,1,5,6,0,0,2,3,0,30,0,104,209,6,48,0,0,65,222,102,115,2,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,25,0,28,3191,2,2,0,0,0,0,0,4,2,0,0,0,0,0,0,51,52,25,655,6,1712,13,4,2,2874,1514,1026,3852,5943,15209,187,Riskware,skymobi
143888,21316,11020,109172,83276,24868,36715,31172,5542,333,4,9,4,4,74,60,17,68,3,0,6,0,0,6,3,0,0,3,0,0,0,1,0,0,4,0,0,0,1,0,5,0,0,0,1,0,0,0,4,4,0,0,1,3,0,6,0,25,27,0,6,181,176,202,201,86,156,120,9,14,0,25,0,67,0,0,134,12,0,0,5,3,84,0,2,0,7,122,0,0,0,0,0,0,0,62,70,0,0,0,0,0,0,10,0,1,14717,70,26925,297,5,2,2620,757,1646,2343,2362,9728,188,Riskware,smsreg
