Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_postUrl,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_warning,Logcat_verbose,Logcat_error,Logcat_info,Logcat_debug,Logcat_total,Process_total,Category,Family
69079,3840,10544,51444,105668,6480,32651,24624,8026,322,2,7,4,5,21,35,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,2,0,2,2,0,2,0,0,2,0,0,4,0,0,0,4,16,0,0,13,11,7,2,0,0,2,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,4,1,3260,32,4877,34,3,0,105,1894,4572,2577,737,9885,192,PUA,youmi
30971,1904,13796,23808,77768,1908,8935,4739,4195,1,0,5,1,2,2,24,1,7,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,392,18,36,0,0,36,0,0,0,0,36,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,19,0,0,0,0,3,0,2922,2394,219,1769,585,7889,191,PUA,youmi
65238,1576,11184,51716,101712,4536,30075,23131,6943,314,4,6,2,2,14,30,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,0,4,9,18,1,2,18,9,0,0,0,0,9,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,83952969,59418,1216331,30172,3,1,613,341,2098,3243,3892,10187,190,PUA,utchi
123149,4804,8668,108328,61544,4816,27598,20026,7571,16,1,5,2,2,12,30,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,240,0,180,180,0,180,0,0,240,0,0,4,0,1,2,2,0,0,29,3273,3301,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,250,0,1,8520,80,14630,100,3,0,729,1339,119,3416,3259,8862,191,PUA,youmi
26127,1592,10508,17508,72664,1604,6404,4117,2286,0,0,1,0,2,2,22,6,9,0,0,0,84,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,117,5230,1337,688,1329,8701,193,PUA,secapk
36123,7756,10204,18520,75864,7780,5421,4157,1263,0,0,2,0,2,4,24,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,2,0,110,2590,1361,2372,5195,11628,191,PUA,apptrack
63291,2052,11152,50584,93720,5144,32476,26576,5899,126,5,6,2,2,18,30,4,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,4,3,7,1,2,12,6,0,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,161944478,112895,2144397,53427,3,1,4124,767,286,1857,2861,9895,190,PUA,utchi
29885,1364,12864,23232,76804,1376,8915,4761,4153,0,0,1,0,2,2,23,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,167,1553,2481,8101,4191,16493,192,PUA,secapk
27082,1648,9576,17464,73620,1660,5890,4394,1495,0,0,1,0,2,2,22,6,10,0,0,0,78,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,112,4290,2402,4576,1655,13035,195,PUA,secapk
27347,1640,10408,17672,73176,1652,5380,4276,1103,0,0,1,0,2,2,23,6,9,0,0,0,78,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,7729,2382,1453,4151,115,15830,191,PUA,secapk
97035,26380,10732,60772,99368,27252,35842,28695,7146,179,14,6,3,4,41,38,10,40,3,0,6,0,0,17,0,0,14,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,60,0,6,0,0,187,95,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,4,0,0,0,0,0,0,0,40,0,0,0,0,10,0,2,212874,427,59821,412,3,0,3645,1714,108,2985,1339,9791,193,PUA,scamapp
56693,8900,11944,36308,97108,12260,17919,13338,4580,43,1,4,1,2,10,30,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,70,0,0,0,14,0,0,0,56,56,0,0,14,0,0,0,0,0,0,0,0,0,0,48,48,56,8,0,0,32,0,16,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,0,7,9456,128,23571,143,2,0,591,2947,214,3111,12660,19523,191,PUA,umpay
64674,3156,11172,50228,86160,7756,30096,23543,6552,120,6,8,4,2,18,32,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,7,5,10,2,2,10,5,0,0,0,0,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,84185151,60016,1239777,30823,3,1,1871,244,507,2733,1429,6784,191,PUA,<unknown>
61244,2856,11140,46908,91932,7760,28987,21335,7651,282,5,6,2,2,14,29,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,2,12,6,0,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,137001114,95249,1909097,47536,3,1,2709,308,4055,1921,718,9711,191,PUA,utchi
63993,3420,11088,48880,90636,8244,31107,25496,5610,150,8,6,2,2,18,30,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,2,8,4,0,0,0,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,84151818,59579,1220020,30371,4,1,2005,181,614,1730,3684,8214,189,PUA,<unknown>
115761,34508,12852,68448,103416,37480,42057,33120,8936,278,4,11,8,4,38,39,9,36,2,0,4,0,0,7,0,0,0,0,1,0,0,0,0,0,18,0,0,0,1,0,17,17,0,17,0,0,1,0,0,0,0,30,29,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,120,0,0,0,0,21,0,1,3383,17,4822,27,3,0,1912,4057,375,702,3281,10327,193,PUA,youmi
37303,2108,11888,29684,69012,2120,7947,4932,3014,0,0,2,0,2,2,24,6,9,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,0,0,0,2,0,5350,3633,2008,1346,194,12531,193,PUA,secapk
59991,1868,10924,46708,93044,6744,29097,23154,5942,240,13,6,2,2,18,30,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,2,12,6,0,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,179377368,128029,2659421,66296,3,1,1661,314,3449,2967,710,9101,191,PUA,utchi
108351,34676,10864,63216,104228,36300,33835,26428,7407,227,7,12,5,5,53,46,13,49,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,57,0,0,0,3,0,43,54,0,54,27,27,3,0,0,4,0,37,53,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,1,14,22,0,0,0,0,10,0,1,0,0,0,0,3,3,185,705,3237,2168,1430,7725,193,PUA,youmi
30559,1392,11324,23784,76920,1404,7926,4782,3143,0,0,2,0,2,2,22,5,7,0,0,0,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2,0,3419,5420,1320,1909,235,12303,188,PUA,<unknown>
52744,7380,10992,34452,99760,10400,17816,13378,4437,43,1,4,1,2,10,30,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,70,0,0,0,14,0,0,0,56,56,0,0,14,0,0,0,0,0,0,0,0,0,0,48,48,56,8,0,0,32,0,16,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,0,7,9416,127,23178,136,2,0,159,6954,584,1732,1641,11070,191,PUA,umpay
30414,1324,11328,23896,76564,1336,7927,5009,2917,0,0,2,0,2,2,22,6,9,0,0,0,78,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,5388,3474,1446,2012,226,12546,191,PUA,secapk
31259,1548,12916,24132,76248,1560,7930,4719,3210,0,0,2,0,2,2,22,6,10,0,0,0,84,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,2569,11033,4052,1626,156,19436,190,PUA,secapk
52243,3792,11900,34936,99736,8876,20002,15943,4058,62,4,6,2,2,18,28,4,18,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,18,0,22,44,0,48,0,0,35,35,18,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,11,7090,77,12952,83,2,1,775,814,2749,3673,5318,13329,190,PUA,youmi
31691,1844,12680,24512,79340,1856,7951,5182,2768,5,0,5,1,2,3,24,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,2,0,1218,5519,5085,2879,160,14861,192,PUA,youmi
68022,2712,11120,53132,93492,7672,32179,24252,7926,972,7,6,2,2,15,31,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,2,18,9,0,0,0,0,9,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,228674988,161154,3070970,76592,4,1,1921,3281,2992,337,672,9203,190,PUA,utchi
26881,2048,9672,16920,71584,2060,5382,3775,1606,0,0,2,0,2,2,23,6,10,0,0,0,78,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,1391,2101,4206,5000,112,12810,195,PUA,secapk
54722,7248,11832,36496,99816,10156,17980,13637,4342,45,1,4,1,2,11,31,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,61,0,0,0,12,0,0,0,49,49,0,0,12,0,0,0,0,0,0,0,0,0,0,42,42,49,7,0,0,28,0,14,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,19,0,6,8274,112,20028,119,2,0,747,2674,5529,187,2590,11727,191,PUA,umpay
53249,5144,11956,36300,101372,8508,17913,13349,4563,43,1,4,1,2,10,30,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,70,0,0,0,14,0,0,0,56,56,0,0,14,0,0,0,0,0,0,0,0,0,0,48,48,56,8,0,0,32,0,16,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,0,7,9456,128,23607,143,2,0,8428,766,2917,201,2795,15107,191,PUA,umpay
23509,288,9668,16916,54940,296,6403,3922,2480,0,0,2,0,2,2,23,2,10,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1939,103,1168,520,1693,5423,186,PUA,secapk
55974,2064,10764,43632,98148,5008,20585,15993,4591,256,6,6,2,2,18,29,4,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,0,4,3,7,1,2,12,6,0,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,83937444,59101,1203029,29898,2,1,2829,1860,246,4539,773,10247,191,PUA,utchi
